recommendation_id,selection_key,record_type,thai_source_text,english_draft,translation_style,numbers_match,units_match,timing_match,urgency_match,negation_match,meaning_review,review_comment,approval_status,approved_by,approved_at,translation_version,source_id,source_page
act_adj_eye_level.01,act_adj_eye_level,recommendation,ปรับงานให้อยู่ระดับสายตา,Adjust the work to eye level.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,1-2
act_adj_eye_level.02,act_adj_eye_level,recommendation,ลดการก้มคอ,Reduce neck bending.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,1-2
act_adj_wrist.01,act_adj_wrist,recommendation,ปรับด้ามจับเครื่องมือให้ข้อมืออยู่ในแนวตรง,Keep the wrist in a neutral position.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,5-6
act_avoid_bend.01,act_avoid_bend,recommendation,ลดการก้มโดยยกพื้นที่ทำงานให้สูงขึ้น,Reduce bending by raising the work area.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,2-3
act_avoid_twist.01,act_avoid_twist,recommendation,หลีกเลี่ยงการบิดลำตัวหรือเอียงตัวขณะทำงาน,Avoid twisting or side bending while working.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,2-3
act_body_arms_high.01,act_body_arms_high,recommendation,ไม่ยกแขนเหนือไหล่ต่อเนื่องเกิน 2 นาที,Do not keep arms above shoulder level for more than 2 minutes.,direct,pass,pass,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,4
act_body_arms_high.02,act_body_arms_high,recommendation,พักแขน 3-5 นาทีทุก 15-20 นาที,Rest 3-5 minutes every 15-20 minutes.,direct,pass,pass,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,4
act_body_arms_high.03,act_body_arms_high,recommendation,ใช้เครื่องมือด้ามยาวหรือแท่นยืนที่มั่นคง,Use long-handled tools or a stable platform.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,4
act_body_arms_medium.01,act_body_arms_medium,recommendation,จัดวัสดุให้อยู่ในระยะเอื้อมไม่เกิน 40 ซม.,Keep materials within 40 cm of the body.,direct,pass,pass,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,4
act_body_arms_medium.02,act_body_arms_medium,recommendation,วางอุปกรณ์เมื่อไม่ใช้,Put tools down when they are not in use.,direct,pass,not_applicable,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,pending,,,1,body_map_recommendations,4
