recommendation_id,selection_key,display_order,record_type,category,activity,body_part,risk_level,trigger_condition,thai_source_text,source_id,source_page,source_section,source_priority,catalog_version,record_status,legacy_text_th,legacy_text_en
act_adj_eye_level.01,act_adj_eye_level,1,recommendation,posture,any,any,any,selection_key_selected,ปรับงานให้อยู่ระดับสายตา,body_map_recommendations,1-2,Neck,1,2026-07-29.1,source_verified,ปรับงานให้อยู่ระดับสายตา ลดการก้มคอ,Adjust work to eye level
act_adj_eye_level.02,act_adj_eye_level,2,recommendation,posture,any,any,any,selection_key_selected,ลดการก้มคอ,body_map_recommendations,1-2,Neck,1,2026-07-29.1,source_verified,,
act_adj_wrist.01,act_adj_wrist,1,recommendation,posture,any,any,any,selection_key_selected,ปรับด้ามจับเครื่องมือให้ข้อมืออยู่ในแนวตรง,body_map_recommendations,5-6,Wrist and hand,1,2026-07-29.1,source_verified,ปรับด้ามจับเครื่องมือให้ข้อมืออยู่ในแนวตรง,Keep wrist in neutral position
act_avoid_bend.01,act_avoid_bend,1,recommendation,posture,any,any,any,selection_key_selected,ลดการก้มโดยยกพื้นที่ทำงานให้สูงขึ้น,body_map_recommendations,2-3,Neck and trunk,1,2026-07-29.1,source_verified,หลีกเลี่ยงการก้มหลังมาก หรือใช้เข็มขัดพยุงหลัง,Avoid deep bending or use back support
act_avoid_twist.01,act_avoid_twist,1,recommendation,posture,any,any,any,selection_key_selected,หลีกเลี่ยงการบิดลำตัวหรือเอียงตัวขณะทำงาน,body_map_recommendations,2-3,Avoid twisting,1,2026-07-29.1,source_verified,หลีกเลี่ยงการบิดลำตัวหรือเอียงตัวขณะทำงาน,Avoid twisting or side bending while working
act_body_arms_high.01,act_body_arms_high,1,recommendation,posture,any,arms,high,body_part_risk_matches,ไม่ยกแขนเหนือไหล่ต่อเนื่องเกิน 2 นาที,body_map_recommendations,4,act_body_arms_high,1,2026-07-29.1,source_verified,ไม่ยกแขนเหนือไหล่ต่อเนื่องเกิน 2 นาที พักแขน 3-5 นาทีทุก 15-20 นาที และใช้เครื่องมือด้ามยาวหรือแท่นยืนที่มั่นคง,Do not keep arms above shoulder level for more than 2 minutes; rest 3-5 minutes every 15-20 minutes and use long-handled tools or a stable platform.
act_body_arms_high.02,act_body_arms_high,2,recommendation,posture,any,arms,high,body_part_risk_matches,พักแขน 3-5 นาทีทุก 15-20 นาที,body_map_recommendations,4,act_body_arms_high,1,2026-07-29.1,source_verified,,
act_body_arms_high.03,act_body_arms_high,3,recommendation,posture,any,arms,high,body_part_risk_matches,ใช้เครื่องมือด้ามยาวหรือแท่นยืนที่มั่นคง,body_map_recommendations,4,act_body_arms_high,1,2026-07-29.1,source_verified,,
act_body_arms_medium.01,act_body_arms_medium,1,recommendation,posture,any,arms,medium,body_part_risk_matches,จัดวัสดุให้อยู่ในระยะเอื้อมไม่เกิน 40 ซม.,body_map_recommendations,4,act_body_arms_medium,1,2026-07-29.1,source_verified,จัดวัสดุให้อยู่ในระยะเอื้อมไม่เกิน 40 ซม. วางอุปกรณ์เมื่อไม่ใช้ พักไหล่ทุก 30 นาที และให้งานอยู่ต่ำกว่าระดับไหล่,"Keep materials within 40 cm reach, put tools down when not in use, rest shoulders every 30 minutes, and keep work below shoulder height."
act_body_arms_medium.02,act_body_arms_medium,2,recommendation,posture,any,arms,medium,body_part_risk_matches,วางอุปกรณ์เมื่อไม่ใช้,body_map_recommendations,4,act_body_arms_medium,1,2026-07-29.1,source_verified,,
act_body_arms_medium.03,act_body_arms_medium,3,recommendation,posture,any,arms,medium,body_part_risk_matches,พักไหล่ทุก 30 นาที และให้งานอยู่ต่ำกว่าระดับไหล่,body_map_recommendations,4,act_body_arms_medium,1,2026-07-29.1,source_verified,,
act_body_arms_very_high.01,act_body_arms_very_high,1,recommendation,posture,any,arms,very_high,body_part_risk_matches,จำกัดงานเหนือศีรษะเป็นรอบสั้น,body_map_recommendations,4-5,act_body_arms_very_high,1,2026-07-29.1,source_verified,จำกัดงานเหนือศีรษะเป็นรอบสั้น ใช้เครื่องมือด้ามยาวที่น้ำหนักเบา และสลับไปทำงานที่ใช้แขนต่ำกว่าระดับไหล่,"Limit overhead work to short rounds, use lighter long-handled tools, and rotate to work below shoulder level."
act_body_arms_very_high.02,act_body_arms_very_high,2,recommendation,posture,any,arms,very_high,body_part_risk_matches,ใช้เครื่องมือด้ามยาวที่น้ำหนักเบา,body_map_recommendations,4-5,act_body_arms_very_high,1,2026-07-29.1,source_verified,,
act_body_arms_very_high.03,act_body_arms_very_high,3,recommendation,posture,any,arms,very_high,body_part_risk_matches,สลับไปทำงานที่ใช้แขนต่ำกว่าระดับไหล่,body_map_recommendations,4-5,act_body_arms_very_high,1,2026-07-29.1,source_verified,,
act_body_legs_high.01,act_body_legs_high,1,recommendation,posture,any,legs,high,body_part_risk_matches,ไม่นั่งยองหรือคุกเข่าต่อเนื่องเกิน 15 นาที,body_map_recommendations,6-7,act_body_legs_high,1,2026-07-29.1,source_verified,ไม่นั่งยองหรือคุกเข่าต่อเนื่องเกิน 15 นาที ลุกเดิน 3-5 นาทีทุก 15 นาที และใช้เก้าอี้เตี้ยหรือแผ่นรองเข่า,Do not squat or kneel continuously for more than 15 minutes; walk 3-5 minutes every 15 minutes and use a low stool or knee pad.
act_body_legs_high.02,act_body_legs_high,2,recommendation,posture,any,legs,high,body_part_risk_matches,ลุกเดิน 3-5 นาทีทุก 15 นาที,body_map_recommendations,6-7,act_body_legs_high,1,2026-07-29.1,source_verified,,
act_body_legs_high.03,act_body_legs_high,3,recommendation,posture,any,legs,high,body_part_risk_matches,ใช้เก้าอี้เตี้ยหรือแผ่นรองเข่า,body_map_recommendations,6-7,act_body_legs_high,1,2026-07-29.1,source_verified,,
act_body_legs_medium.01,act_body_legs_medium,1,recommendation,posture,any,legs,medium,body_part_risk_matches,ลุกยืนหรือเดินทุก 20 นาที,body_map_recommendations,6,act_body_legs_medium,1,2026-07-29.1,source_verified,ลุกยืนหรือเดินทุก 20 นาที ใช้เบาะรองนั่งหรือแผ่นรองเข่า และสลับระหว่างนั่ง ยืน และเดิน,"Stand or walk every 20 minutes, use a squat cushion or knee pad, and alternate between sitting, standing, and walking."
act_body_legs_medium.02,act_body_legs_medium,2,recommendation,posture,any,legs,medium,body_part_risk_matches,ใช้เบาะรองนั่งหรือแผ่นรองเข่า,body_map_recommendations,6,act_body_legs_medium,1,2026-07-29.1,source_verified,,
act_body_legs_medium.03,act_body_legs_medium,3,recommendation,posture,any,legs,medium,body_part_risk_matches,สลับระหว่างนั่ง ยืน และเดิน,body_map_recommendations,6,act_body_legs_medium,1,2026-07-29.1,source_verified,,
act_body_legs_very_high.01,act_body_legs_very_high,1,recommendation,posture,any,legs,very_high,body_part_risk_matches,หลีกเลี่ยงการนั่งยองหรือคุกเข่าเกิน 10 นาที,body_map_recommendations,7,act_body_legs_very_high,1,2026-07-29.1,source_verified,หลีกเลี่ยงการนั่งยองหรือคุกเข่าเกิน 10 นาที พักทุก 10-15 นาที ใช้อุปกรณ์ช่วยทำงานระดับพื้น และลดเวลาทำงานใกล้พื้น,"Avoid squatting or kneeling for more than 10 minutes, rest every 10-15 minutes, use floor-work aids, and reduce time working near the ground."
act_body_legs_very_high.02,act_body_legs_very_high,2,recommendation,posture,any,legs,very_high,body_part_risk_matches,พักทุก 10-15 นาที,body_map_recommendations,7,act_body_legs_very_high,1,2026-07-29.1,source_verified,,
act_body_legs_very_high.03,act_body_legs_very_high,3,recommendation,posture,any,legs,very_high,body_part_risk_matches,ใช้อุปกรณ์ช่วยทำงานระดับพื้น,body_map_recommendations,7,act_body_legs_very_high,1,2026-07-29.1,source_verified,,
act_body_legs_very_high.04,act_body_legs_very_high,4,recommendation,posture,any,legs,very_high,body_part_risk_matches,ลดเวลาทำงานใกล้พื้น,body_map_recommendations,7,act_body_legs_very_high,1,2026-07-29.1,source_verified,,
act_body_manual_high.01,act_body_manual_high,1,recommendation,posture,any,manual,high,body_part_risk_matches,แบ่งน้ำหนักต่อครั้งไม่เกิน 10 กก.,body_map_recommendations,7-8,act_body_manual_high,1,2026-07-29.1,source_verified,แบ่งน้ำหนักต่อครั้งไม่เกิน 10 กก. ใช้รถเข็นเมื่อขนไกลกว่า 10 เมตร ให้ 2 คนช่วยยกเมื่อหนักเกิน 20 กก. และหลีกเลี่ยงการบิดตัวขณะยก,"Limit each load to no more than 10 kg, use a cart for distances over 10 m, ask for two-person lifting when over 20 kg, and avoid twisting while lifting."
act_body_manual_high.02,act_body_manual_high,2,recommendation,posture,any,manual,high,body_part_risk_matches,ใช้รถเข็นเมื่อขนไกลกว่า 10 เมตร ให้ 2 คนช่วยยกเมื่อหนักเกิน 20 กก.,body_map_recommendations,7-8,act_body_manual_high,1,2026-07-29.1,source_verified,,
act_body_manual_high.03,act_body_manual_high,3,recommendation,posture,any,manual,high,body_part_risk_matches,หลีกเลี่ยงการบิดตัวขณะยก,body_map_recommendations,7-8,act_body_manual_high,1,2026-07-29.1,source_verified,,
act_body_manual_medium.01,act_body_manual_medium,1,recommendation,posture,any,manual,medium,body_part_risk_matches,แบ่งถุงหรือภาชนะให้หนักไม่เกิน 15 กก.,body_map_recommendations,7,act_body_manual_medium,1,2026-07-29.1,source_verified,แบ่งถุงหรือภาชนะให้หนักไม่เกิน 15 กก. ถือของให้ชิดลำตัว ใช้สองมือช่วยยก และหลีกเลี่ยงการยกเหนือระดับไหล่,"Split each bag or container to no more than 15 kg, keep the load close to the body, lift with both hands, and avoid lifting above shoulder height."
act_body_manual_medium.02,act_body_manual_medium,2,recommendation,posture,any,manual,medium,body_part_risk_matches,ถือของให้ชิดลำตัว,body_map_recommendations,7,act_body_manual_medium,1,2026-07-29.1,source_verified,,
act_body_manual_medium.03,act_body_manual_medium,3,recommendation,posture,any,manual,medium,body_part_risk_matches,ใช้สองมือช่วยยก,body_map_recommendations,7,act_body_manual_medium,1,2026-07-29.1,source_verified,,
act_body_manual_medium.04,act_body_manual_medium,4,recommendation,posture,any,manual,medium,body_part_risk_matches,หลีกเลี่ยงการยกเหนือระดับไหล่,body_map_recommendations,7,act_body_manual_medium,1,2026-07-29.1,source_verified,,
act_body_manual_very_high.01,act_body_manual_very_high,1,recommendation,posture,any,manual,very_high,body_part_risk_matches,ใช้รถเข็น รถลาก หรืออุปกรณ์ช่วยยก,body_map_recommendations,8,act_body_manual_very_high,1,2026-07-29.1,source_verified,ใช้รถเข็น รถลาก หรืออุปกรณ์ช่วยยก หลีกเลี่ยงการยกเกิน 20 กก. คนเดียว ถ้าหนัก 20-25 กก. ให้ช่วยกันยก และถ้าเกิน 25 กก. ให้ใช้อุปกรณ์ช่วย,"Use a cart, trolley, or lifting aid; avoid lifting more than 20 kg alone, team-lift 20-25 kg loads, and use lifting equipment above 25 kg."
act_body_manual_very_high.02,act_body_manual_very_high,2,recommendation,posture,any,manual,very_high,body_part_risk_matches,หลีกเลี่ยงการยกเกิน 20 กก. คนเดียว,body_map_recommendations,8,act_body_manual_very_high,1,2026-07-29.1,source_verified,,
act_body_manual_very_high.03,act_body_manual_very_high,3,recommendation,posture,any,manual,very_high,body_part_risk_matches,ถ้าหนัก 20-25 กก. ให้ช่วยกันยก,body_map_recommendations,8,act_body_manual_very_high,1,2026-07-29.1,source_verified,,
act_body_manual_very_high.04,act_body_manual_very_high,4,recommendation,posture,any,manual,very_high,body_part_risk_matches,ถ้าเกิน 25 กก. ให้ใช้อุปกรณ์ช่วย,body_map_recommendations,8,act_body_manual_very_high,1,2026-07-29.1,source_verified,,
act_body_neck_high.01,act_body_neck_high,1,recommendation,posture,any,neck,high,body_part_risk_matches,ปรับพื้นที่ทำงานให้สูงขึ้น ยืดเหยียดคอทุก 15-20 นาที,body_map_recommendations,2,act_body_neck_high,1,2026-07-29.1,source_verified,ปรับพื้นที่ทำงานให้สูงขึ้น ยืดเหยียดคอทุก 15-20 นาที ใช้อุปกรณ์ช่วยหยิบจับ และหลีกเลี่ยงการบิดหรือเอียงคอ,"Raise the work area, stretch the neck every 15-20 minutes, use reach tools, and avoid twisting or tilting the neck."
act_body_neck_high.02,act_body_neck_high,2,recommendation,posture,any,neck,high,body_part_risk_matches,ใช้อุปกรณ์ช่วยหยิบจับ,body_map_recommendations,2,act_body_neck_high,1,2026-07-29.1,source_verified,,
act_body_neck_high.03,act_body_neck_high,3,recommendation,posture,any,neck,high,body_part_risk_matches,หลีกเลี่ยงการบิดหรือเอียงคอ,body_map_recommendations,2,act_body_neck_high,1,2026-07-29.1,source_verified,,
act_body_neck_medium.01,act_body_neck_medium,1,recommendation,posture,any,neck,medium,body_part_risk_matches,ยกถาดหรือวัสดุให้อยู่ระดับเอว,body_map_recommendations,1,act_body_neck_medium,1,2026-07-29.1,source_verified,ยกถาดหรือวัสดุให้อยู่ระดับเอว เปลี่ยนท่าคอทุก 30 นาที และหลีกเลี่ยงการก้มมองพื้นต่อเนื่อง,"Raise trays or materials to waist height, change neck posture every 30 minutes, and avoid looking down continuously."
act_body_neck_medium.02,act_body_neck_medium,2,recommendation,posture,any,neck,medium,body_part_risk_matches,เปลี่ยนท่าคอทุก 30 นาที,body_map_recommendations,1,act_body_neck_medium,1,2026-07-29.1,source_verified,,
act_body_neck_medium.03,act_body_neck_medium,3,recommendation,posture,any,neck,medium,body_part_risk_matches,หลีกเลี่ยงการก้มมองพื้นต่อเนื่อง,body_map_recommendations,1,act_body_neck_medium,1,2026-07-29.1,source_verified,,
act_body_neck_very_high.01,act_body_neck_very_high,1,recommendation,posture,any,neck,very_high,body_part_risk_matches,ปรับวิธีทำงานทันที,body_map_recommendations,2,act_body_neck_very_high,1,2026-07-29.1,source_verified,ปรับวิธีทำงานทันที ยกวัสดุขึ้นระดับเอว ใช้เครื่องมือด้ามยาว และเปลี่ยนอิริยาบถทุก 10-15 นาที,"Change the work method immediately: lift materials to waist level, use long-handled tools, and change posture every 10-15 minutes."
act_body_neck_very_high.02,act_body_neck_very_high,2,recommendation,posture,any,neck,very_high,body_part_risk_matches,ยกวัสดุขึ้นระดับเอว,body_map_recommendations,2,act_body_neck_very_high,1,2026-07-29.1,source_verified,,
act_body_neck_very_high.03,act_body_neck_very_high,3,recommendation,posture,any,neck,very_high,body_part_risk_matches,ใช้เครื่องมือด้ามยาว,body_map_recommendations,2,act_body_neck_very_high,1,2026-07-29.1,source_verified,,
act_body_neck_very_high.04,act_body_neck_very_high,4,recommendation,posture,any,neck,very_high,body_part_risk_matches,เปลี่ยนอิริยาบถทุก 10-15 นาที,body_map_recommendations,2,act_body_neck_very_high,1,2026-07-29.1,source_verified,,
act_body_trunk_high.01,act_body_trunk_high,1,recommendation,posture,any,trunk,high,body_part_risk_matches,หลีกเลี่ยงการก้มต่อเนื่องเกิน 10-15 นาที ยืดเหยียดทุก 15 นาที,body_map_recommendations,3,act_body_trunk_high,1,2026-07-29.1,source_verified,หลีกเลี่ยงการก้มต่อเนื่องเกิน 10-15 นาที ยืดเหยียดทุก 15 นาที หันหน้าเข้าหาวัสดุก่อนยก และหมุนเท้าแทนการบิดเอว,"Avoid bending for more than 10-15 minutes, stretch every 15 minutes, face the load before lifting, and turn with the feet instead of twisting the waist."
act_body_trunk_high.02,act_body_trunk_high,2,recommendation,posture,any,trunk,high,body_part_risk_matches,หันหน้าเข้าหาวัสดุก่อนยก,body_map_recommendations,3,act_body_trunk_high,1,2026-07-29.1,source_verified,,
act_body_trunk_high.03,act_body_trunk_high,3,recommendation,posture,any,trunk,high,body_part_risk_matches,หมุนเท้าแทนการบิดเอว,body_map_recommendations,3,act_body_trunk_high,1,2026-07-29.1,source_verified,,
act_body_trunk_medium.01,act_body_trunk_medium,1,recommendation,posture,any,trunk,medium,body_part_risk_matches,วางวัสดุให้อยู่ใกล้ตัวไม่เกิน 40 ซม.,body_map_recommendations,3,act_body_trunk_medium,1,2026-07-29.1,source_verified,วางวัสดุให้อยู่ใกล้ตัวไม่เกิน 40 ซม. ยกงานจากพื้น 50-70 ซม. และลุกเปลี่ยนท่าทุก 20-30 นาที,"Keep materials within 40 cm, raise work from the ground by 50-70 cm, and stand up to change posture every 20-30 minutes."
act_body_trunk_medium.02,act_body_trunk_medium,2,recommendation,posture,any,trunk,medium,body_part_risk_matches,ยกงานจากพื้น 50-70 ซม.,body_map_recommendations,3,act_body_trunk_medium,1,2026-07-29.1,source_verified,,
act_body_trunk_medium.03,act_body_trunk_medium,3,recommendation,posture,any,trunk,medium,body_part_risk_matches,ลุกเปลี่ยนท่าทุก 20-30 นาที,body_map_recommendations,3,act_body_trunk_medium,1,2026-07-29.1,source_verified,,
act_body_trunk_very_high.01,act_body_trunk_very_high,1,recommendation,posture,any,trunk,very_high,body_part_risk_matches,ใช้รถเข็นหรืออุปกรณ์ช่วยยก,body_map_recommendations,3-4,act_body_trunk_very_high,1,2026-07-29.1,source_verified,ใช้รถเข็นหรืออุปกรณ์ช่วยยก หลีกเลี่ยงการยกเกิน 20 กก. คนเดียว ปรับงานให้อยู่ระดับเข่าถึงเอว และลดการขนย้ายที่ไม่จำเป็น,"Use carts or lifting aids, avoid lifting more than 20 kg alone, raise the work area to knee-to-waist height, and reduce unnecessary carries."
act_body_trunk_very_high.02,act_body_trunk_very_high,2,recommendation,posture,any,trunk,very_high,body_part_risk_matches,หลีกเลี่ยงการยกเกิน 20 กก. คนเดียว,body_map_recommendations,3-4,act_body_trunk_very_high,1,2026-07-29.1,source_verified,,
act_body_trunk_very_high.03,act_body_trunk_very_high,3,recommendation,posture,any,trunk,very_high,body_part_risk_matches,ปรับงานให้อยู่ระดับเข่าถึงเอว,body_map_recommendations,3-4,act_body_trunk_very_high,1,2026-07-29.1,source_verified,,
act_body_trunk_very_high.04,act_body_trunk_very_high,4,recommendation,posture,any,trunk,very_high,body_part_risk_matches,ลดการขนย้ายที่ไม่จำเป็น,body_map_recommendations,3-4,act_body_trunk_very_high,1,2026-07-29.1,source_verified,,
act_body_wrists_high.01,act_body_wrists_high,1,recommendation,posture,any,wrists,high,body_part_risk_matches,พักมือและข้อมือทุก 15-20 นาที,body_map_recommendations,5-6,act_body_wrists_high,1,2026-07-29.1,source_verified,พักมือและข้อมือทุก 15-20 นาที สลับงานทุก 20-30 นาที ใช้ด้ามจับที่เหมาะสม และลดแรงกำขณะจับอุปกรณ์,"Rest hands and wrists every 15-20 minutes, rotate tasks every 20-30 minutes, use suitable handles, and reduce gripping force."
act_body_wrists_high.02,act_body_wrists_high,2,recommendation,posture,any,wrists,high,body_part_risk_matches,สลับงานทุก 20-30 นาที,body_map_recommendations,5-6,act_body_wrists_high,1,2026-07-29.1,source_verified,,
act_body_wrists_high.03,act_body_wrists_high,3,recommendation,posture,any,wrists,high,body_part_risk_matches,ใช้ด้ามจับที่เหมาะสม,body_map_recommendations,5-6,act_body_wrists_high,1,2026-07-29.1,source_verified,,
act_body_wrists_high.04,act_body_wrists_high,4,recommendation,posture,any,wrists,high,body_part_risk_matches,ลดแรงกำขณะจับอุปกรณ์,body_map_recommendations,5-6,act_body_wrists_high,1,2026-07-29.1,source_verified,,
