selection_key,current_th,current_en,source_th,comparison_status,impact_on_selection,review_note
act_adj_eye_level,ปรับงานให้อยู่ระดับสายตา ลดการก้มคอ,Adjust work to eye level,ปรับงานให้อยู่ระดับสายตา | ลดการก้มคอ,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_adj_wrist,ปรับด้ามจับเครื่องมือให้ข้อมืออยู่ในแนวตรง,Keep wrist in neutral position,ปรับด้ามจับเครื่องมือให้ข้อมืออยู่ในแนวตรง,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_avoid_bend,หลีกเลี่ยงการก้มหลังมาก หรือใช้เข็มขัดพยุงหลัง,Avoid deep bending or use back support,ลดการก้มโดยยกพื้นที่ทำงานให้สูงขึ้น,source_revision_proposed,none_key_unchanged,Replace unsupported or indirect legacy wording with the employer-provided source wording.
act_avoid_twist,หลีกเลี่ยงการบิดลำตัวหรือเอียงตัวขณะทำงาน,Avoid twisting or side bending while working,หลีกเลี่ยงการบิดลำตัวหรือเอียงตัวขณะทำงาน,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_body_arms_high,ไม่ยกแขนเหนือไหล่ต่อเนื่องเกิน 2 นาที พักแขน 3-5 นาทีทุก 15-20 นาที และใช้เครื่องมือด้ามยาวหรือแท่นยืนที่มั่นคง,Do not keep arms above shoulder level for more than 2 minutes; rest 3-5 minutes every 15-20 minutes and use long-handled tools or a stable platform.,ไม่ยกแขนเหนือไหล่ต่อเนื่องเกิน 2 นาที | พักแขน 3-5 นาทีทุก 15-20 นาที | ใช้เครื่องมือด้ามยาวหรือแท่นยืนที่มั่นคง,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_body_arms_medium,จัดวัสดุให้อยู่ในระยะเอื้อมไม่เกิน 40 ซม. วางอุปกรณ์เมื่อไม่ใช้ พักไหล่ทุก 30 นาที และให้งานอยู่ต่ำกว่าระดับไหล่,"Keep materials within 40 cm reach, put tools down when not in use, rest shoulders every 30 minutes, and keep work below shoulder height.",จัดวัสดุให้อยู่ในระยะเอื้อมไม่เกิน 40 ซม. | วางอุปกรณ์เมื่อไม่ใช้ | พักไหล่ทุก 30 นาที และให้งานอยู่ต่ำกว่าระดับไหล่,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_body_arms_very_high,จำกัดงานเหนือศีรษะเป็นรอบสั้น ใช้เครื่องมือด้ามยาวที่น้ำหนักเบา และสลับไปทำงานที่ใช้แขนต่ำกว่าระดับไหล่,"Limit overhead work to short rounds, use lighter long-handled tools, and rotate to work below shoulder level.",จำกัดงานเหนือศีรษะเป็นรอบสั้น | ใช้เครื่องมือด้ามยาวที่น้ำหนักเบา | สลับไปทำงานที่ใช้แขนต่ำกว่าระดับไหล่,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_body_legs_high,ไม่นั่งยองหรือคุกเข่าต่อเนื่องเกิน 15 นาที ลุกเดิน 3-5 นาทีทุก 15 นาที และใช้เก้าอี้เตี้ยหรือแผ่นรองเข่า,Do not squat or kneel continuously for more than 15 minutes; walk 3-5 minutes every 15 minutes and use a low stool or knee pad.,ไม่นั่งยองหรือคุกเข่าต่อเนื่องเกิน 15 นาที | ลุกเดิน 3-5 นาทีทุก 15 นาที | ใช้เก้าอี้เตี้ยหรือแผ่นรองเข่า,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_body_legs_medium,ลุกยืนหรือเดินทุก 20 นาที ใช้เบาะรองนั่งหรือแผ่นรองเข่า และสลับระหว่างนั่ง ยืน และเดิน,"Stand or walk every 20 minutes, use a squat cushion or knee pad, and alternate between sitting, standing, and walking.",ลุกยืนหรือเดินทุก 20 นาที | ใช้เบาะรองนั่งหรือแผ่นรองเข่า | สลับระหว่างนั่ง ยืน และเดิน,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
act_body_legs_very_high,หลีกเลี่ยงการนั่งยองหรือคุกเข่าเกิน 10 นาที พักทุก 10-15 นาที ใช้อุปกรณ์ช่วยทำงานระดับพื้น และลดเวลาทำงานใกล้พื้น,"Avoid squatting or kneeling for more than 10 minutes, rest every 10-15 minutes, use floor-work aids, and reduce time working near the ground.",หลีกเลี่ยงการนั่งยองหรือคุกเข่าเกิน 10 นาที | พักทุก 10-15 นาที | ใช้อุปกรณ์ช่วยทำงานระดับพื้น | ลดเวลาทำงานใกล้พื้น,source_aligned_summary,none_key_unchanged,Verify final atomic split and English meaning during review.
